;name;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;fk_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;defensive_awareness;standing_tackle;slide_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;best_position;club_position;best_overall_rating;country;team;age
129;Christian Pulisic;74;74;50;77;70;88;70;58;59;85;91;84;87;78;88;77;79;72;54;57;45;33;79;80;61;80;38;32;47;8;12;13;16;14;SUB;RM;83;United States;Chelsea;23
130;Achraf Hakimi Mouh;84;75;68;81;74;79;77;74;73;82;91;93;82;81;78;80;79;92;72;73;75;78;78;77;60;72;75;76;76;10;8;14;6;8;RB;RB;84;Morocco;Paris Saint Germain;23
131;Kai Lukas Havertz;74;81;80;84;80;85;84;53;79;85;76;85;76;84;75;76;75;77;69;78;52;38;82;82;73;84;39;46;38;6;8;11;10;12;ST;CAM;86;Germany;Chelsea;23
132;Davide Frattesi;67;73;61;82;68;80;68;65;77;85;80;78;74;76;74;75;71;77;63;65;72;60;74;80;64;74;65;69;68;5;10;8;11;10;RCM;CAM;81;Italy;Sassuolo;22
133;Borna Sosa;88;41;64;74;44;79;79;55;72;79;78;79;73;79;68;70;67;78;68;65;65;71;67;78;31;75;73;76;69;10;6;6;8;9;LWB;LWB;79;Croatia;VfB Stuttgart;24
134;Amadou Zeund Georges Ba Mvom Onana;61;57;67;76;51;73;58;42;74;75;68;78;63;72;50;72;67;75;80;58;71;72;65;70;40;70;69;75;75;7;12;12;9;10;LCM;CDM;76;Belgium;Everton;20
135;Sepe Elye Wahi;61;78;64;70;73;77;63;58;57;76;84;81;79;74;71;76;76;70;69;74;57;28;77;66;64;72;25;29;23;13;7;5;12;14;ST;ST;77;France;Montpellier;19
136;Noah Mbamba;31;18;64;67;23;65;25;28;62;66;67;76;67;53;63;53;77;65;74;50;68;57;44;59;26;60;58;65;63;12;11;11;14;6;SUB;CB;66;Belgium;Club Brugge;17
137;Martin Ødegaard;84;75;52;88;76;85;83;85;84;85;78;75;85;74;83;76;46;81;56;77;63;65;79;87;63;78;65;49;51;14;15;15;8;10;CAM;CAM;86;Norway;Arsenal;23
138;Benjamin White;55;22;74;80;21;72;45;20;79;76;70;72;63;80;55;50;79;76;76;25;78;83;39;69;24;80;82;82;80;8;11;12;5;6;RB;CB;82;England;Arsenal;24
139;Victor James Osimhen;62;88;80;72;76;78;63;48;53;80;86;93;78;84;68;79;90;81;85;72;69;34;85;69;75;79;36;43;19;14;14;10;9;6;ST;ST;85;Nigeria;Napoli;23
140;Nicolò Rovella;67;52;52;81;68;75;74;71;79;79;75;79;79;72;77;72;67;87;59;76;78;72;68;76;60;74;72;77;75;9;12;11;9;10;RCM;CM;79;Italy;Monza;20
141;Fábio Leandro Carvalho;60;73;43;73;61;76;65;53;66;78;80;77;82;71;86;66;59;67;48;65;42;39;75;71;49;73;49;49;32;14;5;8;10;10;SUB;CAM;76;Portugal;Liverpool;19
142;Wassim Keddari Boulif;29;36;66;62;25;50;33;23;58;58;65;58;56;64;52;44;82;65;68;33;63;64;31;55;39;52;66;66;64;10;11;6;9;15;RES;CB;67;Spain;Espanyol;17
143;Zlatan Ibrahimović;71;84;82;77;87;75;79;74;72;85;55;61;67;77;51;86;77;34;85;85;84;20;88;83;80;90;28;37;24;13;15;10;9;12;SUB;ST;82;Sweden;Milan;40
144;Olivier Giroud;64;86;91;78;86;69;71;65;60;85;41;43;54;84;53;86;82;55;90;69;76;42;87;78;90;85;37;37;20;12;15;11;6;5;ST;ST;82;France;Milan;35
145;Granit Xhaka;73;65;62;85;50;70;76;77;85;82;48;50;49;74;61;90;33;85;79;78;91;71;72;78;65;69;73;74;70;7;8;11;7;13;LDM;CDM;81;Switzerland;Arsenal;29
146;Leandro Daniel Paredes;77;52;56;85;71;81;83;78;85;85;67;67;69;76;75;86;65;75;77;76;87;76;64;86;64;84;78;77;79;9;14;6;9;10;SUB;CM;80;Argentina;Juventus;28
147;Yassine Bounou;15;14;14;39;13;20;12;19;44;12;38;36;47;83;29;57;48;43;69;19;25;12;10;62;24;57;20;18;15;83;83;76;84;86;GK;GK;84;Morocco;Sevilla;31
148;Adrien Rabiot;75;66;73;83;69;79;69;59;81;83;73;79;69;80;69;86;79;87;83;75;69;78;78;78;69;80;78;81;73;9;12;9;7;15;RCM;CM;81;France;Juventus;27
149;Federico Chiesa;75;80;50;78;80;89;78;62;72;82;91;91;88;86;81;86;53;85;70;84;69;30;84;77;62;81;65;44;44;6;7;8;9;7;SUB;RM;86;Italy;Juventus;24
150;Dominik Szoboszlai;81;75;58;81;82;81;90;87;79;83;78;77;77;76;63;87;69;74;69;87;40;32;74;80;79;80;35;30;25;10;10;13;10;6;LW;CAM;82;Hungary;RB Leipzig;21
151;Alan Javier Franco;38;28;75;71;35;67;31;35;60;65;64;55;59;73;65;50;74;80;79;28;72;73;39;55;42;72;71;70;67;6;8;12;7;13;LCB;CB;74;Argentina;Atlanta United;25
152;Felipe Ignacio Carballo Ares;60;65;69;77;55;70;64;64;70;75;65;72;71;74;70;70;71;80;71;72;65;68;68;71;58;65;62;70;58;5;14;6;13;10;LCM;CM;75;Uruguay;Nacional;25
153;Nicola Zalewski;72;58;45;75;59;78;64;57;63;76;85;86;75;68;75;72;57;71;45;46;57;50;71;69;63;63;59;57;52;10;5;7;8;15;LM;RM;76;Poland;Roma;20
154;Iker Bravo Solanilla;42;72;68;54;52;68;48;54;43;65;68;69;66;57;63;66;73;56;60;62;45;18;61;55;60;47;20;17;17;6;6;7;6;15;RES;ST;67;Spain;Real Madrid;17
155;Mathys Tel;56;62;55;63;62;73;60;52;55;70;78;76;73;58;74;76;61;50;67;67;44;17;61;60;56;65;21;26;31;12;9;15;7;11;SUB;CAM;68;France;FC Bayern München;17
156;Kevin De Bruyne;94;85;55;93;83;87;89;83;93;90;76;73;76;91;78;92;63;89;74;91;75;64;88;94;83;89;65;65;53;15;13;5;10;13;RCM;CM;91;Belgium;Manchester City;31
157;Agustín Daniel Rossi;17;14;19;35;17;21;29;21;33;26;39;43;35;79;37;54;62;35;76;19;24;25;16;52;23;53;27;21;17;80;76;72;79;80;GK;GK;79;Argentina;Boca Juniors;26
158;Alphonso Boyle Davies;85;64;72;82;59;87;72;44;67;84;96;93;86;84;84;74;78;81;75;63;77;78;77;77;58;78;76;77;71;11;11;6;5;14;LB;LM;85;Canada;FC Bayern München;21
159;Alessandro Bastoni;70;26;82;78;35;70;53;36;78;76;68;77;58;86;57;49;75;81;82;37;84;85;39;57;47;82;87;87;82;11;5;9;11;12;LCB;CB;86;Italy;Inter;23
160;Pedro Antonio Porro Sauceda;82;68;68;75;60;81;78;67;74;83;80;84;78;78;71;83;59;91;74;75;74;76;80;77;66;78;74;78;75;15;7;14;5;7;RWB;RWB;82;Spain;Sporting CP;22
161;Nico Schlotterbeck;48;49;85;75;51;72;49;35;79;71;77;76;68;81;66;75;78;73;82;60;81;82;56;67;38;76;82;86;80;8;10;8;14;13;LCB;CB;84;Germany;Borussia Dortmund;22
162;Arnau Martínez López;75;46;65;72;35;72;66;40;64;74;78;76;75;72;67;56;67;75;66;45;66;68;55;52;50;63;68;70;69;10;7;7;10;9;RWB;RWB;74;Spain;Girona;19
163;Alex Scott;66;61;51;72;53;74;66;63;69;70;75;72;84;62;83;63;60;74;60;58;56;57;62;69;52;72;59;63;60;9;10;15;12;8;RCM;CAM;71;England;Bristol City;18
164;Matías Soulé;74;58;49;76;69;81;79;73;66;81;77;75;79;50;77;66;59;67;34;72;33;19;50;56;69;54;28;31;29;15;8;11;15;14;SUB;LM;72;Argentina;Juventus;19
165;Raheem Sterling;78;81;46;81;67;85;79;72;67;83;94;86;94;89;93;78;57;78;65;79;59;30;90;80;70;77;47;53;47;15;12;12;15;9;LW;LW;85;England;Chelsea;27
166;Ivan Toney;62;82;79;74;77;71;61;64;60;77;75;81;78;78;70;82;90;82;81;68;83;49;80;72;91;80;45;50;42;16;8;8;7;8;ST;ST;81;England;Brentford;26
167;Marcus Rashford;74;80;68;76;73;84;82;76;71;82;83;90;82;81;74;92;76;72;71;78;69;39;80;76;85;75;40;38;33;11;6;15;7;14;ST;CAM;83;England;Manchester United;24
168;Youssef En-Nesyri;48;82;86;70;76;76;63;56;58;78;78;83;67;80;40;83;92;78;76;75;76;31;82;52;70;74;27;31;27;13;9;14;9;13;SUB;ST;82;Morocco;Sevilla;25
169;Kouassi Ryan Sessegnon;78;68;55;76;55;77;73;31;65;78;84;80;79;74;78;67;66;75;60;55;67;71;77;75;61;76;71;73;65;6;11;7;8;7;SUB;LM;78;England;Tottenham Hotspur;22
170;Noussair Mazraoui;79;69;65;83;56;83;69;42;76;84;83;84;86;78;69;68;69;88;70;61;69;80;84;77;44;79;75;78;80;12;7;13;12;12;SUB;RM;83;Morocco;FC Bayern München;24
171;Quinten Ryan Crispito Timber;61;58;56;76;47;81;68;43;72;78;81;77;80;76;79;69;80;81;79;61;78;70;66;72;57;75;67;73;70;5;8;12;11;8;RCM;CAM;76;Netherlands;Feyenoord;21
172;Alan Agustín Velasco;70;65;55;70;59;82;75;67;68;77;87;79;91;71;90;73;57;73;52;72;69;52;72;71;56;81;45;60;52;8;7;12;10;7;SUB;CAM;76;Argentina;Dallas;19
173;Pierre Kazeye Rommel Kalulu Kyatengwa;70;43;75;78;44;64;65;44;65;74;77;83;69;77;69;66;76;72;75;51;77;77;60;59;49;77;78;82;78;12;5;13;9;11;RB;CB;80;France;Milan;22
174;Martin Baturina;67;58;49;73;67;80;64;69;70;79;77;72;76;63;75;71;60;73;56;72;64;57;55;73;63;77;58;58;57;7;5;7;10;6;SUB;CAM;73;Croatia;Dinamo Zagreb;19
175;Nuno Alexandre Tavares Mendes;78;45;68;77;54;77;66;59;70;79;90;89;81;78;82;80;70;80;69;63;73;74;73;70;45;75;73;78;74;7;8;8;12;15;LB;LB;80;Portugal;Paris Saint Germain;20
176;Kamaldeen Sulemana;66;72;42;70;62;80;70;50;58;79;92;93;89;62;88;70;77;70;60;65;52;26;68;68;56;75;30;25;25;6;13;7;12;14;SUB;RM;76;Ghana;Rennes;20
177;Devyne Fabian Jairo Rensch;63;60;67;74;42;72;48;38;65;73;76;77;75;70;72;57;76;76;64;50;72;71;73;64;42;67;70;73;73;10;8;9;13;7;RB;RB;74;Netherlands;Ajax;19
178;Kayky da Silva Chagas;57;64;38;60;50;73;45;39;55;71;83;75;83;49;76;62;46;60;43;40;31;22;61;63;64;58;24;30;31;14;14;14;13;12;SUB;LM;67;Brazil;Paços de Ferreira;19
179;Giorgi Mamardashvili;13;9;14;15;7;11;11;10;15;22;48;48;35;60;26;56;53;45;74;7;25;8;8;34;11;26;5;12;10;79;78;74;79;80;GK;GK;78;Georgia;Valencia;21
180;Youssef En-Nesyri;48;82;86;70;76;76;63;56;58;78;78;83;67;80;40;83;92;78;76;75;76;31;82;52;70;74;27;31;27;13;9;14;9;13;SUB;ST;82;Morocco;Sevilla;25
181;Sergio Gómez Martín;77;67;47;74;69;76;75;76;69;75;76;65;85;73;83;72;71;76;58;70;68;73;72;76;78;73;70;72;70;11;7;9;11;10;SUB;CAM;76;Spain;Manchester City;21
182;Jonathan Christian David;67;82;72;77;73;78;58;58;69;78;81;85;75;76;70;77;86;83;77;74;37;33;82;73;75;81;29;29;19;7;7;11;7;7;ST;ST;81;Canada;Lille;22
183;Armel Bella Kotchap;31;20;72;66;24;39;22;22;64;60;77;86;60;63;63;40;77;65;86;20;66;77;29;46;33;57;71;77;72;12;14;5;8;13;RCB;CB;76;Germany;Southampton;20
184;Quinten Ryan Crispito Timber;61;58;56;76;47;81;68;43;72;78;81;77;80;76;79;69;80;81;79;61;78;70;66;72;57;75;67;73;70;5;8;12;11;8;RCM;CAM;76;Netherlands;Feyenoord;21
185;Nuno Alexandre Tavares Mendes;78;45;68;77;54;77;66;59;70;79;90;89;81;78;82;80;70;80;69;63;73;74;73;70;45;75;73;78;74;7;8;8;12;15;LB;LB;80;Portugal;Paris Saint Germain;20
186;Alan Agustín Velasco;70;65;55;70;59;82;75;67;68;77;87;79;91;71;90;73;57;73;52;72;69;52;72;71;56;81;45;60;52;8;7;12;10;7;SUB;CAM;76;Argentina;Dallas;19
187;Allan Saint-Maximin;73;72;53;76;66;92;76;58;64;83;91;89;93;78;89;82;73;77;73;70;43;20;76;75;58;83;29;21;23;10;9;12;7;7;SUB;CAM;82;France;Newcastle United;25
188;Rúben Diogo da Silva Neves;80;65;53;88;82;75;85;81;88;82;63;55;68;81;73;85;66;79;67;82;84;81;62;87;76;88;78;79;77;16;12;10;8;10;CDM;CM;84;Portugal;Wolverhampton Wanderers;25
189;Marcos Llorente Moreno;74;80;67;86;66;82;75;63;81;84;85;90;82;84;68;84;69;90;77;77;82;81;83;84;65;82;79;79;74;13;6;6;11;15;RM;CM;84;Spain;Atlético Madrid;27
190;Akram Hassan Afif;72;74;48;75;69;79;76;59;70;75;87;87;81;68;72;70;69;72;51;65;37;27;73;69;76;78;28;36;28;7;14;8;5;10;LW;LW;76;Qatar;;25
191;Carlos Uriel Antuna Romero;65;77;43;69;55;80;57;48;58;72;93;92;92;67;77;74;63;81;42;66;42;35;77;63;54;71;24;31;32;10;13;14;9;11;SUB;RM;76;Mexico;;24
192;Felipe Ignacio Carballo Ares;60;65;69;77;55;70;64;64;70;75;65;72;71;74;70;70;71;80;71;72;65;68;68;71;58;65;62;70;58;5;14;6;13;10;LCM;CM;75;Uruguay;Nacional;25
193;Addji Keaninkin Marc-Israel Guéhi;35;42;76;74;32;65;42;32;73;70;67;77;67;80;65;49;70;70;79;26;73;79;35;54;38;74;81;79;78;8;9;11;12;12;LCB;CB;80;England;Crystal Palace;21
194;Illan Meslier;18;11;15;50;9;20;12;10;50;35;37;40;42;74;25;53;42;40;53;17;27;19;8;61;11;67;22;17;19;79;76;71;72;81;GK;GK;77;France;Leeds United;22
195;Christopher Jeffrey Richards;49;23;77;71;26;47;35;24;65;62;67;78;61;68;60;36;90;65;76;22;66;72;38;51;37;61;70;78;76;13;5;13;7;6;SUB;CB;76;United States;Crystal Palace;22
196;Vítor Machado Ferreira;71;66;39;85;62;82;62;61;83;84;76;70;90;74;84;69;56;75;45;71;53;73;72;80;73;82;68;72;68;12;13;8;5;5;LCM;CAM;81;Portugal;Paris Saint Germain;22
197;Luca Netz;76;46;57;69;32;68;52;53;61;69;75;77;72;68;71;53;63;60;60;38;67;70;64;57;49;62;68;76;74;7;11;12;9;13;SUB;LB;73;Germany;Borussia Mönchengladbach;19
198;Anthony David Junior Elanga;67;70;67;68;62;76;70;61;45;73;90;86;83;72;75;64;86;75;52;63;42;31;73;65;56;69;35;38;33;13;5;13;8;10;SUB;RW;74;Sweden;Manchester United;20
199;Souleymane Isaak Touré;42;29;64;59;27;47;38;24;47;62;63;70;53;53;47;39;74;65;91;19;84;64;38;50;41;64;62;71;60;14;7;7;5;12;SUB;CB;70;France;Olympique Marseille;19
200;Mateus Gonçalo Espanha Fernandes;56;52;56;71;57;72;68;59;68;71;77;74;84;66;81;62;64;63;62;56;58;56;64;66;64;72;48;51;45;6;5;12;8;5;RES;CAM;70;Portugal;Sporting CP;17
201;Georginio Gregion Emile Wijnaldum;71;70;78;80;67;79;78;73;79;81;69;69;82;78;88;73;80;89;73;70;75;80;79;79;74;80;76;78;70;16;6;14;12;6;SUB;CM;80;Netherlands;Roma;31
202;Eden Michael Hazard;77;78;61;85;82;89;83;79;81;87;84;82;85;77;89;82;55;74;61;77;54;41;83;84;84;88;34;27;22;11;12;6;8;8;SUB;LW;84;Belgium;Real Madrid;31
203;Nicolás Hernán Gonzalo Otamendi;52;54;79;73;57;51;50;39;70;66;60;65;58;80;58;69;90;78;82;56;90;84;48;53;45;79;84;83;80;12;5;8;11;12;LCB;CB;81;Argentina;Benfica;34
204;손흥민 孙兴慜;83;91;68;83;79;86;87;74;74;84;85;90;85;91;76;88;60;88;64;89;62;39;91;82;73;89;47;34;33;11;13;13;6;10;LW;LW;89;Korea Republic;Tottenham Hotspur;29
205;Bruno Miguel Borges Fernandes;85;83;64;88;87;79;85;85;86;84;75;69;78;91;79;88;71;92;66;88;80;67;85;90;90;79;66;73;65;12;14;15;8;14;LCM;CAM;86;Portugal;Manchester United;27
206;Iñaki Williams Arthuer;75;77;73;74;74;81;76;58;66;76;93;94;79;82;62;85;89;87;83;77;76;25;85;73;68;81;42;34;29;14;15;14;10;13;ST;ST;81;Ghana;Athletic Club;28
207;Ismaël Bennacer;72;63;62;85;64;86;73;73;83;85;81;73;87;83;89;75;78;82;69;74;86;81;66;81;68;80;76;80;76;9;12;10;16;15;RCM;CM;83;Algeria;Milan;24
208;Benjamin Pavard;76;44;84;77;73;68;63;51;74;75;68;65;66;79;66;75;86;78;78;59;74;80;58;66;51;77;78;86;79;9;7;15;7;15;RB;CB;82;France;FC Bayern München;26
209;Lorenzo Pellegrini;74;77;74;88;74;82;74;79;85;87;79;79;80;85;82;79;70;90;74;76;74;72;80;87;82;84;73;76;73;12;7;10;13;11;RF;CAM;86;Italy;Roma;26
210;Trent Alexander-Arnold;92;62;69;87;63;78;87;85;91;86;76;76;73;83;73;82;66;89;66;75;69;83;78;90;55;82;77;82;79;14;15;14;6;7;RB;CM;88;England;Liverpool;23
211;Ousmane Dembélé;85;75;43;78;76;89;82;64;76;85;94;93;90;78;81;83;58;68;51;76;54;36;77;81;75;80;42;30;33;6;6;14;10;13;LW;LM;86;France;FC Barcelona;25
212;Lucas Tolentino Coelho de Lima;72;78;68;82;74;88;77;74;78;86;71;73;75;81;77;77;78;78;77;77;76;71;80;82;75;88;67;72;63;14;9;12;11;11;SUB;CAM;84;Brazil;West Ham United;24
213;Philip Foden;79;80;47;86;59;87;75;68;83;91;86;78;91;83;91;82;49;83;47;77;64;59;82;85;64;84;60;59;47;8;15;6;10;13;RW;CAM;88;England;Manchester City;22
214;João Félix Sequeira;77;79;69;83;83;88;83;67;76;87;83;82;88;81;84;80;76;75;62;81;68;40;84;85;68;85;30;42;35;13;12;14;13;14;LS;CAM;86;Portugal;Atlético Madrid;22
215;Brennan Price Johnson;72;76;58;67;68;78;64;43;63;74;87;89;88;65;66;70;40;78;52;67;48;23;68;71;67;70;41;42;53;14;7;13;5;13;RW;RM;76;Wales;Nottingham Forest;21
216;Luis Ismael Vázquez;52;73;76;69;52;66;60;47;60;73;70;70;73;70;65;72;76;77;73;69;55;22;77;65;68;73;26;17;16;12;5;5;6;8;SUB;ST;74;Argentina;Boca Juniors;21
217;Matteo Cancellieri;69;64;55;71;70;79;76;70;65;77;79;86;83;66;80;74;54;58;66;77;59;33;65;65;67;64;31;42;41;11;15;11;6;9;SUB;CAM;74;Italy;Lazio;19
218;Marcus Vincius Oliveira Alencar;71;64;50;69;55;76;67;45;55;77;82;77;77;67;78;61;48;64;54;59;45;33;73;68;56;66;30;32;30;6;6;12;6;12;SUB;LM;74;Brazil;Arsenal;19
219;Nathan Aké;63;48;79;77;52;68;64;59;74;74;80;72;67;77;68;64;89;71;80;56;72;80;51;66;53;77;79;82;79;10;7;7;16;10;SUB;CB;81;Netherlands;Manchester City;27
220;Joshua Walter Kimmich;91;68;72;87;69;82;85;69;90;85;77;60;84;88;84;78;79;94;68;83;89;84;80;85;44;85;85;85;78;8;15;7;15;15;RDM;CDM;89;Germany;FC Bayern München;27
221;Kingsley Junior Coman;81;76;61;80;78;88;83;70;74;87;94;90;92;86;84;83;73;69;66;73;35;23;84;81;70;78;29;27;21;5;3;5;3;5;SUB;RM;86;France;FC Bayern München;26
222;Thomas Lemar;82;77;54;84;77;88;85;81;80;86;85;81;90;82;86;79;67;80;56;79;63;77;81;85;69;80;55;76;69;11;15;13;7;14;SUB;CAM;85;France;Atlético Madrid;26
223;Rick Karsdorp;78;53;68;76;69;77;70;60;74;81;80;89;69;78;70;75;73;83;79;69;77;75;77;70;52;78;74;78;75;13;7;14;16;15;RM;RWB;80;Netherlands;Roma;27
224;Axel Arthur Disasi;25;20;77;69;36;54;45;27;64;63;46;58;31;75;34;59;72;69;92;17;78;78;23;51;36;71;79;80;75;12;8;11;8;6;RCB;CB;80;France;Monaco;24
225;Miguel Ángel Almirón Rejala;72;77;43;79;75;83;77;68;67;79;88;85;86;79;68;78;48;78;53;71;69;55;78;75;69;78;54;55;50;6;9;13;13;12;RW;RW;79;Paraguay;Newcastle United;28
226;Exequiel Alejandro Palacios;67;69;59;82;63;78;68;51;80;79;74;60;78;70;79;81;70;81;65;76;80;81;72;75;63;78;73;75;76;10;5;8;9;6;SUB;CM;80;Argentina;Bayer 04 Leverkusen;23
227;Gregor Kobel;13;10;13;39;10;24;13;12;33;34;38;51;37;82;29;56;68;30;81;10;24;14;10;59;12;66;15;15;15;84;84;74;81;88;GK;GK;84;Switzerland;Borussia Dortmund;24
228;Matthijs de Ligt;52;50;85;75;45;65;48;55;67;73;69;79;55;84;62;82;93;75;93;66;83;81;44;45;40;82;84;86;85;12;11;11;12;10;LCB;CB;87;Netherlands;FC Bayern München;22
229;Nicolás Iván González;78;79;80;80;68;85;65;42;66;85;85;88;81;76;78;69;79;76;55;59;67;39;77;69;84;76;38;46;39;10;6;9;5;8;SUB;LM;82;Argentina;Fiorentina;24
230;Santiago Tomás Giménez;60;79;78;70;63;72;64;50;66;72;75;74;72;63;70;77;82;75;84;70;78;51;75;73;81;67;55;49;32;6;14;12;6;10;SUB;ST;77;Mexico;Feyenoord;21
231;Georginio Rutter;52;77;73;66;68;80;56;45;51;76;76;78;77;72;81;74;76;66;73;69;35;12;76;62;68;71;17;26;17;6;10;14;10;10;RS;ST;77;France;TSG Hoffenheim;20
232;Pedro De la Vega;73;67;71;72;66;75;59;68;64;73;81;82;83;66;76;77;85;75;66;72;75;50;69;67;66;73;46;47;49;8;9;15;8;9;SUB;RM;74;Argentina;Lanús;21
233;Jacob Ramsey;68;76;56;77;65;81;73;54;69;78;76;75;80;77;85;79;77;79;78;73;68;69;76;75;53;77;69;73;64;14;9;8;6;12;LAM;CAM;79;England;Aston Villa;21
234;Michael Olise;75;70;36;76;58;81;77;68;74;80;83;79;91;73;87;74;51;68;46;68;66;48;69;78;67;74;52;56;46;9;11;9;10;10;SUB;CAM;79;France;Crystal Palace;20
235;Samuele Ricci;62;42;57;76;54;69;56;62;72;73;75;74;76;72;70;70;67;82;64;68;72;72;68;72;52;75;74;73;72;14;12;6;11;13;RCM;CDM;75;Italy;Torino;20
236;Hugo Ekitike;51;80;73;68;61;78;58;48;53;76;74;74;68;76;67;76;74;68;72;69;61;18;78;63;63;73;24;17;16;8;8;7;10;12;SUB;ST;78;France;Paris Saint Germain;20
237;Luka Sučić;73;66;47;74;72;76;76;74;74;77;74;76;74;69;65;74;63;73;62;76;58;56;68;75;65;70;47;50;44;15;12;10;11;7;CAM;CAM;76;Croatia;Salzburg;19
238;Sidney Raebiger;58;48;52;69;56;64;58;58;66;64;71;65;80;57;82;60;64;51;40;51;56;51;55;66;55;62;55;58;57;7;10;13;11;13;SUB;CAM;65;Germany;SpVgg Greuther Fürth;17
239;Samuel Iling-Junior;75;54;50;75;61;79;75;63;65;77;79;79;75;51;69;67;53;69;51;62;36;13;45;56;59;56;15;31;22;7;14;8;9;7;RES;LM;71;England;Juventus;18
240;Georginio Gregion Emile Wijnaldum;71;70;78;80;67;79;78;73;79;81;69;69;82;78;88;73;80;89;73;70;75;80;79;79;74;80;76;78;70;16;6;14;12;6;SUB;CM;80;Netherlands;Roma;31
241;Paul Pogba;73;74;74;87;84;89;85;82;92;87;60;72;71;77;65;90;80;65;88;84;79;62;77;90;80;85;53;67;63;5;6;2;4;3;SUB;CM;85;France;Juventus;29
242;Nathan Aké;63;48;79;77;52;68;64;59;74;74;80;72;67;77;68;64;89;71;80;56;72;80;51;66;53;77;79;82;79;10;7;7;16;10;SUB;CB;81;Netherlands;Manchester City;27
243;Bruno Miguel Borges Fernandes;85;83;64;88;87;79;85;85;86;84;75;69;78;91;79;88;71;92;66;88;80;67;85;90;90;79;66;73;65;12;14;15;8;14;LCM;CAM;86;Portugal;Manchester United;27
244;Joshua Walter Kimmich;91;68;72;87;69;82;85;69;90;85;77;60;84;88;84;78;79;94;68;83;89;84;80;85;44;85;85;85;78;8;15;7;15;15;RDM;CDM;89;Germany;FC Bayern München;27
245;Kingsley Junior Coman;81;76;61;80;78;88;83;70;74;87;94;90;92;86;84;83;73;69;66;73;35;23;84;81;70;78;29;27;21;5;3;5;3;5;SUB;RM;86;France;FC Bayern München;26
246;Thomas Lemar;82;77;54;84;77;88;85;81;80;86;85;81;90;82;86;79;67;80;56;79;63;77;81;85;69;80;55;76;69;11;15;13;7;14;SUB;CAM;85;France;Atlético Madrid;26
247;Rick Karsdorp;78;53;68;76;69;77;70;60;74;81;80;89;69;78;70;75;73;83;79;69;77;75;77;70;52;78;74;78;75;13;7;14;16;15;RM;RWB;80;Netherlands;Roma;27
248;Eden Michael Hazard;77;78;61;85;82;89;83;79;81;87;84;82;85;77;89;82;55;74;61;77;54;41;83;84;84;88;34;27;22;11;12;6;8;8;SUB;LW;84;Belgium;Real Madrid;31
249;Hakim Ziyech;88;73;52;86;74;83;90;78;89;84;78;74;83;83;78;83;33;73;58;80;73;51;81;88;67;79;44;57;41;11;7;11;8;14;SUB;RW;83;Morocco;Chelsea;29
250;Jamie Vardy;69;86;77;74;85;76;69;61;61;83;85;84;74;85;75;87;78;69;64;65;83;49;88;75;85;85;45;51;53;15;14;7;15;11;ST;ST;83;England;Leicester City;35
251;Adama Traoré Diarra;78;64;40;72;52;92;72;42;54;82;96;96;82;70;88;79;84;73;89;63;76;41;65;67;47;73;37;38;35;13;9;11;12;7;RW;RM;79;Spain;Wolverhampton Wanderers;26
252;Diogo José Teixeira da Silva;73;86;84;77;79;85;77;58;72;84;88;82;86;87;85;85;81;83;71;75;85;56;89;77;69;80;53;57;45;7;12;15;9;11;SUB;ST;86;Portugal;Liverpool;25
253;Gabriel Fernando de Jesus;74;83;78;81;79;88;76;54;66;87;87;82;92;86;90;84;81;82;74;78;82;32;88;79;75;78;45;30;28;13;8;6;6;15;ST;ST;86;Brazil;Arsenal;25
254;Exequiel Alejandro Palacios;67;69;59;82;63;78;68;51;80;79;74;60;78;70;79;81;70;81;65;76;80;81;72;75;63;78;73;75;76;10;5;8;9;6;SUB;CM;80;Argentina;Bayer 04 Leverkusen;23
255;Ibrahim Sangaré;65;61;71;79;62;76;64;62;76;75;69;64;64;77;72;81;75;85;91;64;76;84;68;74;64;84;83;82;79;7;13;11;6;7;RDM;CDM;82;Côte d'Ivoire;PSV;24
256;Tyrell Malacia;70;50;58;76;59;78;50;48;59;74;84;85;84;74;89;65;86;83;72;62;77;77;58;60;46;70;73;81;81;9;9;12;8;8;SUB;LB;79;Netherlands;Manchester United;22
257;Marc Cucurella Saseta;81;68;57;79;55;81;78;57;79;80;78;74;78;82;83;73;77;88;66;65;76;77;77;78;59;77;79;80;77;13;7;9;10;11;SUB;LWB;82;Spain;Chelsea;23
258;Maarten Vandevoordt;21;7;15;25;4;22;10;8;35;27;40;39;52;68;37;51;60;32;57;5;16;14;5;44;15;52;11;10;18;74;71;68;68;75;GK;GK;72;Belgium;Genk;20
259;이강인 Kang In Lee;73;72;65;79;75;80;77;81;75;78;76;75;82;68;87;76;33;55;59;69;67;29;72;78;70;69;26;23;28;11;12;12;8;14;LM;CAM;78;Korea Republic;Mallorca;21
260;Mohamed Salisu Abdul Karim;40;30;74;73;22;47;50;32;58;64;63;74;53;68;49;60;72;67;87;28;79;81;35;24;40;62;79;79;75;7;7;11;10;6;LCB;CB;79;Ghana;Southampton;23
